"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"0",2630,2706,2874,2943,2888,2727,2602,2530,2398,2317,2201,2132,2065,1971,1864,1768,1673,1572,1500,1443,1393
"1",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",72,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
"6",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",101,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
"11",20,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
"12",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",23,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",103,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0
"16",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",172,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
"21",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",34,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
"23",31,0,0,0,0,0,0,0,0,73,72,0,0,0,0,0,0,0,0,0,0
"24",76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",73,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
"26",42,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",40,0,0,0,0,0,0,0,0,0,0,0,65,76,54,71,72,81,59,50,51
"29",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",107,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
"31",13,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",26,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
"34",26,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",47,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
"36",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",25,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",272,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
"41",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",16,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
"45",47,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"46",13,0,0,0,0,0,0,0,0,27,24,0,0,0,0,0,0,0,0,0,0
"47",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",61,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
"51",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",10,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",3,0,0,0,0,0,0,0,14,0,0,17,0,0,0,0,0,0,0,0,0
"56",5,0,0,0,0,0,0,0,0,0,0,0,15,20,20,22,16,29,19,25,18
"57",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",23,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"61",8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",2,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"67",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0
"70",2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"91",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
